2022-23 season:,Thu Nov 17 2022,at Bos,"Boston 4, Philadelphia 1  ",,,
2022-23 season:,Thu Nov 17 2022,at Min,"Pittsburgh 6, Minnesota 4  ",,,
2022-23 season:,Thu Nov 17 2022,at StL,"St Louis 5, Washington 4 (SO)",,,
2022-23 season:,Fri Nov 18 2022,at Van,"Vancouver 4, Los Angeles 1  ",,,
2022-23 season:,Sat Nov 19 2022,at StL,"St Louis 6, Anaheim 2  ",,,
2022-23 season:,Sat Nov 19 2022,at Tor,"Toronto 5, Buffalo 2  ",,,
2022-23 season:,Sat Nov 19 2022,at Min,"Minnesota 2, Carolina 1 (OT)",,,
2022-23 season:,Sat Nov 19 2022,at Fla,"Calgary 5, Florida 4 (SO)",,,
2022-23 season:,Sat Nov 19 2022,at Bos,"Boston 6, Chicago 1  ",,,
2022-23 season:,Sat Nov 19 2022,at Wsh,"Colorado 4, Washington 0  ",,,
2022-23 season:,Sat Nov 19 2022,at Cbs,"Detroit 6, Columbus 1  ",,,
2022-23 season:,Sat Nov 19 2022,at Sea,"Seattle 3, Los Angeles 2 (OT)",,,
2022-23 season:,Sat Nov 19 2022,at Ott,"New Jersey 5, Ottawa 1  ",,,
2022-23 season:,Sat Nov 19 2022,at Dal,"Dallas 5, NY Islanders 2  ",,,
2022-23 season:,Sat Nov 19 2022,at SJ,"NY Rangers 2, San Jose 1  ",,,
2022-23 season:,Sat Nov 19 2022,at Mtl,"Montreal 5, Philadelphia 4 (SO)",,,
2022-23 season:,Sat Nov 19 2022,at Wpg,"Pittsburgh 3, Winnipeg 0  ",,,
2022-23 season:,Sat Nov 19 2022,at Nsh,"Tampa Bay 3, Nashville 2 (OT)",,,
2022-23 season:,Sat Nov 19 2022,at Edm,"Edmonton 4, Vegas 3 (OT)",,,
2022-23 season:,Sun Nov 20 2022,at Cbs,"Columbus 5, Florida 3  ",,,
2022-23 season:,Sun Nov 20 2022,at Chi,"Pittsburgh 5, Chicago 3  ",,,
2022-23 season:,Mon Nov 21 2022,at StL,"St Louis 3, Anaheim 1  ",,,
2022-23 season:,Mon Nov 21 2022,at Nsh,"Nashville 4, Arizona 3 (SO)",,,
2022-23 season:,Mon Nov 21 2022,at TB,"Boston 5, Tampa Bay 3  ",,,
2022-23 season:,Mon Nov 21 2022,at Wpg,"Winnipeg 4, Carolina 3 (OT)",,,
2022-23 season:,Mon Nov 21 2022,at Phi,"Calgary 5, Philadelphia 2  ",,,
2022-23 season:,Mon Nov 21 2022,at Dal,"Colorado 3, Dallas 2 (SO)",,,
2022-23 season:,Mon Nov 21 2022,at NJ,"New Jersey 5, Edmonton 2  ",,,
2022-23 season:,Mon Nov 21 2022,at Tor,"NY Islanders 3, Toronto 2 (OT)",,,
